suburb,year,property_type,num_bedrooms,avg_price,avg_min_nights,avg_num_reviews,avg_occupancy_rate,lat,lon,n_transport_1km,n_school_1km,n_food_1km,n_shop_1km,n_hospital_1km,n_landmark_1km,n_transport_3km,n_school_3km,n_food_3km,n_shop_3km,n_hospital_3km,n_landmark_3km
NOBLE PARK,2015,HOUSE,2,90,4,0,0,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2015,HOUSE,1,65.75,1,0.083333333,0.000456621,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2015,APARTMENT,1,28.2,20.2,0,0,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2016,HOUSE,1,53.83333333,1.333333333,4.5,0.044678208,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2016,HOUSE,2,90.33333333,1,0,0,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2016,APARTMENT,1,50.33333333,5,4.666666667,0.026080735,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2016,APARTMENT,2,99.5,5,0.5,0.076923077,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2017,HOUSE,1,54.16666667,1.5,7.583333333,0.087506068,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2017,HOUSE,2,90,1,0,0,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2017,APARTMENT,1,60,1,12,0.068376068,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
NOBLE PARK,2017,APARTMENT,2,90,7,2,0.7,-37.967254,145.176167,21,12,37,21,23,9,25,1,70,38,54,20
SPRINGVALE SOUTH,2015,HOUSE,2,85.33333333,5.333333333,4,0.201714373,-37.97103,145.148499,20,6,14,21,4,14,23,21,66,28,48,20
SPRINGVALE SOUTH,2015,HOUSE,1,57.5,1,0,0,-37.97103,145.148499,20,6,14,21,4,14,23,21,66,28,48,20
SPRINGVALE SOUTH,2016,HOUSE,2,105,1.666666667,14,0.557369615,-37.97103,145.148499,20,6,14,21,4,14,23,21,66,28,48,20
SPRINGVALE SOUTH,2016,HOUSE,1,48.14285714,1.142857143,2.714285714,0.066460188,-37.97103,145.148499,20,6,14,21,4,14,23,21,66,28,48,20
SPRINGVALE SOUTH,2017,HOUSE,1,41.5,8,10,0.35,-37.97103,145.148499,20,6,14,21,4,14,23,21,66,28,48,20
SPRINGVALE SOUTH,2017,HOUSE,3,94,2,0,0,-37.97103,145.148499,20,6,14,21,4,14,23,21,66,28,48,20
KEYSBOROUGH,2015,HOUSE,1,67.3125,1.625,2.625,0.03607009,-37.989707,145.149037,20,3,6,21,0,13,20,20,62,33,37,20
KEYSBOROUGH,2016,APARTMENT,1,61.5,1,0,0,-37.989707,145.149037,20,3,6,21,0,13,20,20,62,33,37,20
KEYSBOROUGH,2016,HOUSE,1,71,1.2,5.4,0.060537714,-37.989707,145.149037,20,3,6,21,0,13,20,20,62,33,37,20
KEYSBOROUGH,2017,HOUSE,1,67.57142857,1.428571429,6.285714286,0.090646001,-37.989707,145.149037,20,3,6,21,0,13,20,20,62,33,37,20
KEYSBOROUGH,2017,APARTMENT,1,60,1,0,0,-37.989707,145.149037,20,3,6,21,0,13,20,20,62,33,37,20
SPRINGVALE,2015,HOUSE,1,37,1,0.625,0.003530647,-35.169517,147.334074,2,0,0,2,0,0,11,6,3,13,0,0
SPRINGVALE,2016,HOUSE,1,42.40909091,1.227272727,2.363636364,0.024881855,-35.169517,147.334074,2,0,0,2,0,0,11,6,3,13,0,0
SPRINGVALE,2017,HOUSE,1,47.7,1.7,4.7,0.06629566,-35.169517,147.334074,2,0,0,2,0,0,11,6,3,13,0,0
DANDENONG,2015,APARTMENT,2,124.5,1,1,0.005694378,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG,2016,APARTMENT,2,160,2.333333333,10.16666667,0.239299743,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG,2016,APARTMENT,1,35,3,1,0.005494505,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG,2016,HOUSE,1,58.5,1.5,1.5,0.184749483,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG,2016,HOUSE,3,257,3,0,0,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG,2017,APARTMENT,1,98,1,0,0,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG,2017,APARTMENT,2,147.6666667,1.666666667,17.33333333,0.282845729,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG,2017,HOUSE,1,58.6,1.8,2.8,0.159420442,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG,2017,HOUSE,3,248,3,0,0,-37.987271,145.214317,21,12,67,34,49,13,22,21,74,46,60,21
DANDENONG SOUTH,2015,HOUSE,3,276,3,0,0,-38.02243,145.23738,7,0,4,22,0,1,21,13,60,33,19,20
DANDENONG SOUTH,2016,HOUSE,3,263.3333333,3,0,0,-38.02243,145.23738,7,0,4,22,0,1,21,13,60,33,19,20
DANDENONG SOUTH,2017,HOUSE,3,248,3,1,0.016666667,-38.02243,145.23738,7,0,4,22,0,1,21,13,60,33,19,20
POINT COOK,2015,HOUSE,1,49.6,1.733333333,1.633333333,0.017736764,-37.914616,144.751038,5,2,2,4,0,5,21,20,47,26,15,20
POINT COOK,2016,HOUSE,1,54.7745098,2.078431373,5.401960784,0.08765316,-37.914616,144.751038,5,2,2,4,0,5,21,20,47,26,15,20
POINT COOK,2016,HOUSE,3,169.5,2.25,3.75,0.064862707,-37.914616,144.751038,5,2,2,4,0,5,21,20,47,26,15,20
POINT COOK,2016,APARTMENT,1,236.4,2.6,0.2,0.009756098,-37.914616,144.751038,5,2,2,4,0,5,21,20,47,26,15,20
POINT COOK,2017,HOUSE,3,154.625,1.875,7.25,0.128599595,-37.914616,144.751038,5,2,2,4,0,5,21,20,47,26,15,20
POINT COOK,2017,HOUSE,2,75.6,3,8.2,0.219818961,-37.914616,144.751038,5,2,2,4,0,5,21,20,47,26,15,20
POINT COOK,2017,HOUSE,1,57.89361702,1.893617021,7.510638298,0.081644387,-37.914616,144.751038,5,2,2,4,0,5,21,20,47,26,15,20
POINT COOK,2017,APARTMENT,1,173,3,2,0.052631579,-37.914616,144.751038,5,2,2,4,0,5,21,20,47,26,15,20
TRUGANINA,2015,HOUSE,1,51,1,4,0.16,-37.825004,144.748931,3,0,2,4,0,1,19,4,18,20,0,11
TRUGANINA,2015,HOUSE,3,149.25,3,35.25,0.677830189,-37.825004,144.748931,3,0,2,4,0,1,19,4,18,20,0,11
TRUGANINA,2016,HOUSE,1,57.53333333,1.4,5.833333333,0.065153064,-37.825004,144.748931,3,0,2,4,0,1,19,4,18,20,0,11
TRUGANINA,2016,HOUSE,3,145.2,2.4,39.8,0.456531239,-37.825004,144.748931,3,0,2,4,0,1,19,4,18,20,0,11
TRUGANINA,2017,HOUSE,1,63.09090909,1.363636364,8.090909091,0.070916098,-37.825004,144.748931,3,0,2,4,0,1,19,4,18,20,0,11
TRUGANINA,2017,HOUSE,2,44,1.333333333,10.33333333,0.06284393,-37.825004,144.748931,3,0,2,4,0,1,19,4,18,20,0,11
TRUGANINA,2017,HOUSE,3,109.3333333,2.666666667,35.33333333,0.276068376,-37.825004,144.748931,3,0,2,4,0,1,19,4,18,20,0,11
WERRIBEE SOUTH,2015,APARTMENT,2,189.6666667,1,0,0,-37.903337,144.657731,21,9,50,25,31,11,21,21,57,29,47,23
WERRIBEE SOUTH,2016,APARTMENT,2,176.1666667,2.666666667,0.666666667,0.123939394,-37.903337,144.657731,21,9,50,25,31,11,21,21,57,29,47,23
WERRIBEE SOUTH,2016,HOUSE,2,160,2,10.5,0.445238095,-37.903337,144.657731,21,9,50,25,31,11,21,21,57,29,47,23
WERRIBEE SOUTH,2016,HOUSE,3,245.5,2,0,0,-37.903337,144.657731,21,9,50,25,31,11,21,21,57,29,47,23
WERRIBEE SOUTH,2017,APARTMENT,2,185,4.5,3,0.361235955,-37.903337,144.657731,21,9,50,25,31,11,21,21,57,29,47,23
WERRIBEE SOUTH,2017,HOUSE,3,245,2,0,0,-37.903337,144.657731,21,9,50,25,31,11,21,21,57,29,47,23
WILLIAMS LANDING,2015,HOUSE,1,60,1,19,0.106741573,,,,,,,,,,,,,,
WILLIAMS LANDING,2015,HOUSE,2,111,1,7,0.03988604,,,,,,,,,,,,,,
WILLIAMS LANDING,2016,HOUSE,1,62.83333333,1.666666667,7,0.117130919,,,,,,,,,,,,,,
WILLIAMS LANDING,2016,HOUSE,3,168,1,6,0.034383954,,,,,,,,,,,,,,
WILLIAMS LANDING,2017,HOUSE,3,151.3333333,1,0,0,,,,,,,,,,,,,,
WILLIAMS LANDING,2017,HOUSE,1,184.125,1.5625,4.25,0.055621891,,,,,,,,,,,,,,
WILLIAMS LANDING,2017,HOUSE,2,120,1,0,0,,,,,,,,,,,,,,
TARNEIT,2015,HOUSE,1,49.5,1.5,12.5,0.071846362,-37.823738,144.692893,8,0,0,0,0,0,21,15,19,26,11,12
TARNEIT,2016,HOUSE,1,47.85714286,1.238095238,8.80952381,0.125756079,-37.823738,144.692893,8,0,0,0,0,0,21,15,19,26,11,12
TARNEIT,2017,HOUSE,1,54.16666667,1,16.83333333,0.178244426,-37.823738,144.692893,8,0,0,0,0,0,21,15,19,26,11,12
TARNEIT,2017,HOUSE,3,39,2,7,0.159090909,-37.823738,144.692893,8,0,0,0,0,0,21,15,19,26,11,12
WERRIBEE,2015,HOUSE,1,50.4,2.2,2.6,0.014295147,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
WERRIBEE,2015,HOUSE,2,110.6666667,1,35.33333333,0.260796026,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
WERRIBEE,2016,HOUSE,1,51.64516129,1.838709677,10.70967742,0.143906401,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
WERRIBEE,2016,HOUSE,2,179,4,0,0,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
WERRIBEE,2016,HOUSE,3,139,2,11,0.130563798,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
WERRIBEE,2016,APARTMENT,3,165,2,8.285714286,0.13857334,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
WERRIBEE,2017,HOUSE,2,123.5,4,1.5,0.024778252,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
WERRIBEE,2017,HOUSE,1,53.13636364,1.681818182,9.272727273,0.124555101,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
WERRIBEE,2017,HOUSE,3,139,2,38,0.535211268,-37.903337,144.657731,21,9,51,25,31,11,21,21,58,29,47,23
HOPPERS CROSSING,2015,HOUSE,2,77.25,1,1.25,0.024047261,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
HOPPERS CROSSING,2015,HOUSE,1,70,1,0,0,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
HOPPERS CROSSING,2016,HOUSE,1,56.55,1.6,3.75,0.045544306,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
HOPPERS CROSSING,2016,HOUSE,2,115,1,5,0.042553191,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
HOPPERS CROSSING,2016,APARTMENT,1,50,1,0.5,0.004878049,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
HOPPERS CROSSING,2017,HOUSE,2,115,1,9,0.7,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
HOPPERS CROSSING,2017,HOUSE,1,52.33333333,1.333333333,9.166666667,0.132871597,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
HOPPERS CROSSING,2017,HOUSE,3,170,2,7,0.079545455,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
HOPPERS CROSSING,2017,APARTMENT,1,37,1,6,0.141176471,-37.882636,144.700297,21,8,31,24,42,10,21,25,68,44,60,20
LAVERTON,2015,APARTMENT,2,105.125,2.5,4,0.072693814,-37.866939,144.761748,19,2,28,21,5,9,23,20,57,36,43,20
LAVERTON,2015,HOUSE,1,99.5,1,0,0,-37.866939,144.761748,19,2,28,21,5,9,23,20,57,36,43,20
LAVERTON,2016,HOUSE,1,35.75,1,1,0.005479452,-37.866939,144.761748,19,2,28,21,5,9,23,20,57,36,43,20
LAVERTON,2016,APARTMENT,2,104,2.4,4,0.065494183,-37.866939,144.761748,19,2,28,21,5,9,23,20,57,36,43,20
LAVERTON,2016,APARTMENT,1,90,3,2,0.032967033,-37.866939,144.761748,19,2,28,21,5,9,23,20,57,36,43,20
LAVERTON,2017,HOUSE,3,55,1,0,0,-37.866939,144.761748,19,2,28,21,5,9,23,20,57,36,43,20
LAVERTON,2017,HOUSE,1,90.66666667,1,2.666666667,0.01463724,-37.866939,144.761748,19,2,28,21,5,9,23,20,57,36,43,20
WESTMEADOWS,2015,HOUSE,1,60.4,1,26.6,0.248353031,-37.673551,144.90086,20,1,1,6,1,12,23,23,61,41,48,20
WESTMEADOWS,2016,HOUSE,1,52.61904762,1,29,0.222319503,-37.673551,144.90086,20,1,1,6,1,12,23,23,61,41,48,20
WESTMEADOWS,2016,APARTMENT,1,95,2,3,0.033241252,-37.673551,144.90086,20,1,1,6,1,12,23,23,61,41,48,20
WESTMEADOWS,2017,HOUSE,1,53.88888889,1,45.11111111,0.312287511,-37.673551,144.90086,20,1,1,6,1,12,23,23,61,41,48,20
WESTMEADOWS,2017,HOUSE,3,300,2,0,0,-37.673551,144.90086,20,1,1,6,1,12,23,23,61,41,48,20
WESTMEADOWS,2017,APARTMENT,1,94,2,4,0.044692737,-37.673551,144.90086,20,1,1,6,1,12,23,23,61,41,48,20
TULLAMARINE,2015,HOUSE,1,81.75,1.25,10,0.057466408,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2015,HOUSE,2,150,1,9.5,0.054371387,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2015,HOUSE,3,168,1.6,1.4,0.009364548,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2015,APARTMENT,1,60,1,1,0.044444444,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2016,HOUSE,1,78.64705882,1.058823529,12,0.132628665,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2016,HOUSE,3,193,1.833333333,2.333333333,0.024768454,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2016,HOUSE,2,144.5,1,5.5,0.030136986,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2016,APARTMENT,1,85.6,1.2,50.8,0.400112309,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2017,HOUSE,1,77.75,1,24.125,0.222603967,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2017,HOUSE,3,185.8,1.8,2.8,0.024889859,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
TULLAMARINE,2017,APARTMENT,1,97,1.5,17.25,0.197276468,-37.68656,144.882698,20,7,34,25,32,15,25,21,52,36,36,20
BROADMEADOWS,2015,HOUSE,1,75.8,1,16,0.091817022,-37.680792,144.921009,21,15,44,29,25,10,26,22,62,39,53,20
BROADMEADOWS,2016,HOUSE,1,61.25,1,14.75,0.106308072,-37.680792,144.921009,21,15,44,29,25,10,26,22,62,39,53,20
BROADMEADOWS,2017,HOUSE,1,62,1,0,0,-37.680792,144.921009,21,15,44,29,25,10,26,22,62,39,53,20
BROADMEADOWS,2017,HOUSE,3,110,2,0,0,-37.680792,144.921009,21,15,44,29,25,10,26,22,62,39,53,20
BROADMEADOWS,2017,HOUSE,2,149,1,68,0.37260274,-37.680792,144.921009,21,15,44,29,25,10,26,22,62,39,53,20
CRAIGIEBURN,2015,HOUSE,1,47,1.058823529,8.294117647,0.103480877,-37.598975,144.941287,19,3,23,22,20,20,21,18,46,39,27,20
CRAIGIEBURN,2016,HOUSE,1,218.2222222,2.388888889,7.472222222,0.123376891,-37.598975,144.941287,19,3,23,22,20,20,21,18,46,39,27,20
CRAIGIEBURN,2016,HOUSE,3,190,1,1,0.00625,-37.598975,144.941287,19,3,23,22,20,20,21,18,46,39,27,20
CRAIGIEBURN,2017,HOUSE,1,48.45454545,2.545454545,10.45454545,0.300155101,-37.598975,144.941287,19,3,23,22,20,20,21,18,46,39,27,20
CRAIGIEBURN,2017,HOUSE,3,113.3333333,1,9.333333333,0.112760357,-37.598975,144.941287,19,3,23,22,20,20,21,18,46,39,27,20
CRAIGIEBURN,2017,APARTMENT,1,98,1,0,0,-37.598975,144.941287,19,3,23,22,20,20,21,18,46,39,27,20
GLADSTONE PARK,2015,HOUSE,1,69.33333333,1,7.333333333,0.474199623,-37.68861,144.883628,20,7,34,25,32,15,26,21,60,43,39,20
GLADSTONE PARK,2015,HOUSE,3,194.5,2,0,0,-37.68861,144.883628,20,7,34,25,32,15,26,21,60,43,39,20
GLADSTONE PARK,2016,HOUSE,1,66.5,1,16,0.411449259,-37.68861,144.883628,20,7,34,25,32,15,26,21,60,43,39,20
GLADSTONE PARK,2017,HOUSE,1,69,1,31,0.402597403,-37.68861,144.883628,20,7,34,25,32,15,26,21,60,43,39,20
GREENVALE,2015,HOUSE,1,42.66666667,1.333333333,1.666666667,0.031670465,-37.642984,144.88872,20,4,8,21,6,11,20,13,12,23,8,20
GREENVALE,2016,HOUSE,1,49.44444444,1.333333333,13.11111111,0.095478531,-37.642984,144.88872,20,4,8,21,6,11,20,13,12,23,8,20
GREENVALE,2016,HOUSE,3,72,1,0,0,-37.642984,144.88872,20,4,8,21,6,11,20,13,12,23,8,20
GREENVALE,2017,HOUSE,1,53,1.166666667,14.16666667,0.104198932,-37.642984,144.88872,20,4,8,21,6,11,20,13,12,23,8,20
ROXBURGH PARK,2015,HOUSE,3,40,1,0,0,-37.636795,144.932604,21,7,36,29,11,19,22,21,62,42,16,22
ROXBURGH PARK,2016,HOUSE,1,41.2,1,4.8,0.057893722,-37.636795,144.932604,21,7,36,29,11,19,22,21,62,42,16,22
ROXBURGH PARK,2016,HOUSE,3,43.75,1,1.75,0.030701754,-37.636795,144.932604,21,7,36,29,11,19,22,21,62,42,16,22
ROXBURGH PARK,2017,HOUSE,1,35,1,13,0.14519774,-37.636795,144.932604,21,7,36,29,11,19,22,21,62,42,16,22
ROXBURGH PARK,2017,HOUSE,3,41,1,0,0,-37.636795,144.932604,21,7,36,29,11,19,22,21,62,42,16,22
ROXBURGH PARK,2017,APARTMENT,1,98,1,0,0,-37.636795,144.932604,21,7,36,29,11,19,22,21,62,42,16,22
WILLIAMSTOWN,2015,APARTMENT,1,115.3913043,1.695652174,2.652173913,0.06038252,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2015,APARTMENT,2,123,3,0,0,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2015,HOUSE,2,162.3076923,3.692307692,19.23076923,0.216508411,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2015,HOUSE,1,109.975,1.225,5.275,0.042405854,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2015,HOUSE,3,293.8571429,3.714285714,0.428571429,0.027874564,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2016,APARTMENT,2,151.4444444,2,4.111111111,0.128753653,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2016,APARTMENT,1,118.9473684,2.421052632,7.157894737,0.10213565,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2016,HOUSE,2,176.1578947,3.052631579,20.26315789,0.267248974,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2016,HOUSE,3,249.75,2.666666667,3.75,0.119468123,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2016,HOUSE,1,102.1785714,1.321428571,4.321428571,0.096583727,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2017,APARTMENT,1,104.6666667,2,14,0.129142919,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2017,APARTMENT,2,155.4285714,2.285714286,6.857142857,0.127491589,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2017,HOUSE,2,178.25,2.875,23.5,0.331826192,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2017,HOUSE,1,87.77777778,1.444444444,8.666666667,0.215375325,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
WILLIAMSTOWN,2017,HOUSE,3,233.5555556,2.444444444,4.333333333,0.096174547,-37.856902,144.897698,22,13,59,22,38,13,24,20,68,25,46,20
SPOTSWOOD,2015,HOUSE,1,68,2,6,0.444444444,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2015,HOUSE,3,199.75,10,0,0,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2016,HOUSE,1,56,1.857142857,7.142857143,0.26946528,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2016,HOUSE,3,224.5,4,1,0.025157233,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2016,HOUSE,2,72.5,2,7,0.099138193,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2016,APARTMENT,2,50,1,0,0,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2016,APARTMENT,1,79,1,5,0.130651596,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2017,HOUSE,1,68.5,1.5,11.25,0.211173571,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2017,HOUSE,2,72,2,17,0.7,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2017,HOUSE,3,250,2,5,0.111111111,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2017,APARTMENT,2,50,1,0,0,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
SPOTSWOOD,2017,APARTMENT,1,100,1,13,0.7,-37.82967,144.885078,21,7,12,20,9,16,24,21,77,31,49,22
NEWPORT,2015,HOUSE,2,131.8461538,2.230769231,7,0.159083845,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2015,HOUSE,1,96.03030303,1.757575758,21.93939394,0.253016636,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2015,HOUSE,3,400,1,0,0,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2015,APARTMENT,1,104.1428571,2,2.285714286,0.028059927,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2015,APARTMENT,3,176,2,6,0.076541349,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2015,APARTMENT,2,65.5,3,0,0,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2016,HOUSE,3,237.4285714,3.857142857,2.857142857,0.054637772,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2016,HOUSE,1,83.94117647,1.607843137,16.66666667,0.258766337,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2016,HOUSE,2,126.4166667,2.083333333,13.41666667,0.336187895,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2016,APARTMENT,2,124.6666667,1.666666667,9.333333333,0.104298297,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2016,APARTMENT,1,104.25,2,8,0.138495115,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2016,APARTMENT,3,180,2,12,0.145454545,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2017,HOUSE,2,137.8571429,2.285714286,9.714285714,0.419502182,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2017,HOUSE,1,79.65,1.7,20.65,0.263828273,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2017,HOUSE,3,198.6,6.2,3.6,0.086703911,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2017,APARTMENT,1,123,4.5,12,0.174545455,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
NEWPORT,2017,APARTMENT,2,118,2,19,0.214689266,-33.659896,151.309312,20,4,16,22,6,8,20,20,65,28,50,22
ALTONA MEADOWS,2015,HOUSE,1,50.21428571,5.678571429,1.035714286,0.064388466,-37.871632,144.778084,20,6,24,24,13,10,24,20,43,28,38,20
ALTONA MEADOWS,2015,HOUSE,3,236.6666667,7,1,0.575084175,-37.871632,144.778084,20,6,24,24,13,10,24,20,43,28,38,20
ALTONA MEADOWS,2016,HOUSE,3,220,7,1.666666667,0.653333333,-37.871632,144.778084,20,6,24,24,13,10,24,20,43,28,38,20
ALTONA MEADOWS,2016,HOUSE,1,49.89473684,5,1.526315789,0.133385789,-37.871632,144.778084,20,6,24,24,13,10,24,20,43,28,38,20
ALTONA MEADOWS,2017,HOUSE,1,48.5,3.833333333,1.5,0.268854339,-37.871632,144.778084,20,6,24,24,13,10,24,20,43,28,38,20
ALTONA MEADOWS,2017,HOUSE,3,201,1,0,0,-37.871632,144.778084,20,6,24,24,13,10,24,20,43,28,38,20
SEAHOLME,2015,HOUSE,1,79,1.333333333,0.75,0.004429075,-37.867992,144.843609,21,2,7,7,9,10,23,10,37,25,37,21
SEAHOLME,2015,HOUSE,2,194.75,1,0,0,-37.867992,144.843609,21,2,7,7,9,10,23,10,37,25,37,21
SEAHOLME,2016,HOUSE,1,65.22222222,1.333333333,3.444444444,0.182397106,-37.867992,144.843609,21,2,7,7,9,10,23,10,37,25,37,21
SEAHOLME,2016,HOUSE,2,195,1,0,0,-37.867992,144.843609,21,2,7,7,9,10,23,10,37,25,37,21
SEAHOLME,2017,HOUSE,1,59,2.5,4.166666667,0.240110359,-37.867992,144.843609,21,2,7,7,9,10,23,10,37,25,37,21
SEAHOLME,2017,HOUSE,2,85,1,0,0,-37.867992,144.843609,21,2,7,7,9,10,23,10,37,25,37,21
ALTONA,2015,HOUSE,1,45.08695652,2.043478261,9.434782609,0.173482835,-37.869275,144.830286,22,5,31,20,32,6,24,9,38,24,37,20
ALTONA,2015,HOUSE,2,130.25,3,10.5,0.19875453,-37.869275,144.830286,22,5,31,20,32,6,24,9,38,24,37,20
ALTONA,2015,APARTMENT,1,99.5,4,0.25,0.010233918,-37.869275,144.830286,22,5,31,20,32,6,24,9,38,24,37,20
